word,clean
coment,coment
musiknya,musiknya
kyle,kyle
pokopow,pokopow
ny,nya
tuhun,tuhun
sunda,sunda
sikodok,sikodok
lol,jelek
penyelam,penyelam
abes,abes
meledak,meledak
moba,moba
blom,belum
col,cool
yh,yah
hiburan,hiburan
setuju,setuju
subscribers,subscribers
ml,mobile legends
trend,trend
disat,di saat
membuat,membuat
kerenbanget,keren banget
diperhatinedho,perhatiin edho
nonoron,nonoron
sayangnya,sayang nya
thn,tahun
terimakasih,terima kasih
dedy,dedy
setelah,setelah
dafuq,what the fuck
kelewat,kelewat
filemnya,film nya
beter,bagus
wk,hahaha
tep,tetap
bnget,banget
actualy,actualy
view,view
pertamax,pertamax
ngomong,ngomong
alaymealayme,alay
ganguan,gangguan
apip,afif
yagod,yagod
merknya,merknya
helmi,helmi
ngulang,ngulang
kekurangan,kekurangan
hah,hah
citata,citata
golden,golden
remixnya,remixnya
pacarnya,pacarnya
mr,tuan
did,did
pgn,pengen
group,group
chandralow,chandralow
dimaksud,dimaksud
home,home
lololol,hahaha
vibu,wibu
mnt,menit
jos,mantap
yng,yang
petjah,pecah
motionya,motion nya
nontonfilm,nonton film
nob,jelek
sebagian,sebagian
bangetapalagi,banget apa lagi
ekspetasigila,ekspetasi gila
kezel,kesal
koq,kenapa
acount,acount
penonton,penonton
part,part
kerenmantap,keren mantap
bikinin,bikinin
mnjmpt,menjemput
kerenputeri,keren putri
yuotube,youtube
strong,strong
membuktikan,membuktikan
alay,alay
bersatu,bersatu
wuo,wow
walaw,walau
jovi,jovi
whats,what
keindahan,keindahan
upluoad,upload
baiknya,baiknya
mix,mix
gini,gini
pokoknya,pokoknya
dri,dari
cangih,canggih
pling,paling
kedua,kedua
tontonin,tontonin
kokngak,kenapa tidak
thebest,the best
nyimpen,nyimpen
harusnya,harusnya
wew,wow
perfect,perfect
budayakan,budayakan
diberandakalo,di beranda kalau
gay,gay
gtau,tidak tahu
rosi,rosi
why,why
nihyoutuber,nih youtuber
ping,ping
keingat,keingat
hehe,hahaha
gs,gs
balek,balik
thanos,thanos
nyarin,nyarin
wao,wow
tulisan,tulisan
firat,firasat
yri,youtube rewind
musicnya,musik nya
ricigah,ricigah
raditnya,raditya
berulang,berulang
indonesian,indonesia
berlalu,berlalu
rewindnya,rewind nya
nicely,nicely
omegot,oh my god
ori,asli
deti,detik
bagaga,bagaga
hy,hai
drpd,daripada
warnet,warnet
flashback,flashback
it,itu
anjoi,anjay
eka,eka
edo,edo
fluxcup,fluxcup
kerensalut,keren salut
branda,beranda
donk,dong
eg,telur
yanglek,younglex
dmna,dimana
waiting,waiting
corona,corona
ngarep,ngarep
nyanyin,nyanyi
berjaya,berjaya
hatjep,mantap
sunguh,sungguh
unpopular,unpopular
kerenyg,keren yang
player,player
nobodyidiots,no body idiots
klas,kelas
fyp,trending
aq,aku
leh,boleh
kai,lucu
bgs,bagus
denger,dengar
ytbers,youtuber
gegara,gara gara
dramadrama,drama drama
kaesang,kaesang
eriko,ericko
tracklist,tracklist
viewer,viewer
berpuluh,berpuluh
sovl,solve
xd,hahaha
yoks,ayuk
saitama,saitama
kataku,kataku
pskwk,hahaha
dubsmash,dubsmash
nge,nge
kale,kalau
rezaoktovian,reza oktovian
knapa,kenapa
make,make
yosh,jos
dabes,the best
karna,karena
yangleks,younglex
mao,mau
cause,cause
dedi,daddy
android,android
heheheh,hahaha
timone,time one
bravo,bravo
boys,boys
osas,osas
garaliat,gara liat
subscribe,subscribe
mcdygaming,mcdy gaming
nawas,nawas
singapura,singapura
disitu,disitu
list,list
pingin,pingin
como,como
usama,usama
bomingnya,bomingnya
ericolim,ericko lim
sp,siapa
shit,shit
mising,missing
wanjir,anjay
ngefans,ngefans
congratelah,congrats telah
back,back
tulisanya,tulisanya
judunya,judunya
nyayi,nyayi
pertamanya,pertamanya
sinilah,sinilah
editan,editan
nyasukses,sukses
beachez,beach
wkwj,hahaha
bngt,banget
dmn,dimana
anonymous,anonymous
ditengah,ditengah
uploud,uploud
tgl,tanggal
ajans,sangat
buanget,banget
woga,woga
mcdy,mcdy
gokilkeren,gokil keren
hey,hai
briand,briand
bagaian,bagaikan
org,orang
song,song
yampun,yaampun
gui,gui
terbayang,terbayang
bomkeren,boom keren
ytri,youtube rewind
suaranya,suaranya
nanda,nanda
publish,publish
jg,juga
hola,hai
wowowowo,wow
merending,merending
hotline,hotline
ta,tidak
suer,sumpah
one,one
while,while
botjah,pecah
liatnyakalian,liat nya kalian
ldp,ldp
pecahbom,pecah boom
mengingat,mengingat
woh,wow
deik,detik
kerenlove,keren love
aronchupa,aronchupa
neh,nih
ign,ign
dikidi,dikidi
woah,wow
wkw,hahaha
rendy,rendy
ri,benar
sebagus,bagus
amaizing,amazing
sepatunya,sepatu
kenangan,kenangan
namany,nama
baguskeren,bagus keren
penghujung,penghujung
matoh,matoh
kayaknya,kayaknya
kay,kay
silento,silento
dibikin,dibikin
semakin,semakin
bg,bang
ngumpul,ngumpul
mengubah,mengubah
maksut,maksud
mengenang,mengenang
beh,yah
jogednya,jogednya
gays,kawan
pd,pada
tai,tai
dancenya,tarian
visualnya,visual
dimana,dimana
cu,kawan
suasananya,suasananya
me,saya
mantapbom,mantapbom
skrng,sekarang
soundtrack,soundtrack
kreative,kreatif
yuotubers,youtuber
chandraliowskinyindonesian,chandra liow skinny indonesian
nunging,nunging
bilangnya,bilang nya
garcia,garcia
bomantap,boom mantap
anjas,anjay
napa,kenapa
chandara,chandra
jgn,jangan
yuotuber,youtuber
yey,hore
jiawa,jiawa
devinaurel,devinaurel
nieh,nih
njas,anjay
stlah,setelah
boz,boz
soundy,soundy
medleymashup,medleymashup
mon,mon
wokeren,keren
kurangedho,kurang edho
banyaknya,banyak
nostaliga,nostalgia
masukan,masukkan
sountrack,sound track
brkrya,berkarya
taragemaedho,taragemaedho
bertinju,bertinju
kuterjebak,aku terjebak
wheres,dimana
kereatif,kreatif
great,great
lawl,lawl
terjadinya,terjadinya
telolet,telolet
cros,cros
blod,blood
kerenkerenkeren,keren
bjir,anjay
ges,kawan
pt,pt
notice,notice
wktu,waktu
now,now
beutc,beutc
indonesial,indonesia
dahberapa,sudah berapa
mixing,mixing
deren,keren
merindingv,merinding
captain,captain
yotube,youtube
diberanda,di beranda
colebration,kolaborasi
mantaf,mantap
cowoknya,cowok
sebelumnya,sebelum
dimarana,dimana
years,year
fak,fuck
pardos,pardos
omgtibakangen, oh my god tiba tiba kangen
disco,disco
jokowi,jokowi
raditbang,raditya bang
ceweknya,ceweknya
scenes,scenes
creator,creator
ripstronaut,ripstronaut
dahkagak,sudah tidak
ngeliat,melihat
nantik,nanti
sibotak,si botak
pokemon,pokemon
mantapo,mantap
richiga,rich niga
nyesel,nyesel
bersenang,bersenang
kevinangara,kevinangara
kerenmerinding,keren merinding
mantabs,mantap
ganyangka,tidak menyangka
kngen,kangen
artist,artis
eoni,eoni
owh,oh
whut,what
gr,gara
terimah,terima
apapun,apapun
kinda,kinda
milion,milion
indahnya,indah nya
bangaet,banget
grgr,gara gara
puterputer,putar putar
catatan,catatan
actingnya,acting nya
nangis,menangis
idol,idol
apayang,apa yang
wilson,wilson
nontn,menonton
skrang,sekarang
bangets,banget
okeh,oke
hanyang,hanyang
miaw,miaw
anjeng,anjing
isinya,isinya
producereclipse,producer eclipse
chan,chan
mouldie,mouldie
ngerasa,merasa
nda,tidak
nampak,nampak
cindercela,cindercela
gamersejati,gamer sejati
bnyak,banyak
semangaterus,semangat terus
berasa,berasa
nongolv,muncul
gilakerenbuangetsumpahgk,gila keren banget sumpah tidak
dateng,datang
smuanya,semua nya
mobalog,moba analog
pendapat,pendapat
menuju,menuju
omdedi,om daddy
mobile,mobile
kayanya,kaya nya
jedilightsaber,jedilightsaber
tiktoktol,tiktok
dilan,dilan
inilah,ini lah
bukanya,bukan
kl,kalau
bangetsengaknya,banget seenggaknya
njay,anjay
perwakilan,perwakilan
yalah,ya allah
kunto,kunto
tg,tanggal
yoi,yoi
gilakeren,gila keren
merasa,merasa
kerenaku,karena aku
internasionalnya,internasional
surem,suram
mengerti,mengerti
mesakno,mesakno
unlike,unlike
enakan,enakan
mash,masih
kerentetep,keren tetap
greget,greget
bangetsalut,banget salut
njer,anjay
stiap,setiap
edozhel,edhozel
mengingatkan,mengingatkan
amv,amv
congratulation,selamat
yahahah,hahaha
isyana,isyana
check,check
banger,banget
karyakarya,karya karya
youtubera,youtuber
gogil,mantap
seberapa,seberapa
btwyg,ngomong ngomong yang
enth,enth
find,find
pandemisemangat,pandemi semangat
mntp,mantap
lex,lex
mantapkerengokilajib,mantap keren gokil ajaib
orngyg,orang yang
richbrian,rich brian
dibuat,buat
smashnya,smash
excelent,excelent
ecko,ecko
buget,budget
euy,kawan
punten,permisi
edhogak,edho tidak
numpang,numpang
awesomesampe,keren sampai
whos,siapa
balikin,balikin
amazingbanget,keren banget
dipake,pakai
stidaknya,setidaknya
gakuat,tidak kuat
kembalilah,kembalilah
always,always
selama,selama
gx,tidak
inget,ingat
wkwkw,hahaha
diposting,posting
bingits,banget
duluyutub,dulu youtube
berdua,berdua
miau,miau
menurutku,menurutku
respon,respon
udeh,sudah
mantapz,mantap
woe,wow
ksini,kesini
koleb,kolaborasi
tebaik,terbaik
tseries,tseries
naruto,naruto
comeback,comeback
gazel,gazel
